,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
97,24.210520000000002,24.551389999999998,24.732310000000002,24.67185,23.851770000000002,25.31071,25.16948,24.21119,23.92859,24.055979999999998,24.19768,24.31382
98,23.70736,24.48726,24.334429999999998,24.08408,23.73923,24.42611,24.61082,24.26964,24.1137,23.82289,23.9917,24.17211
99,20.928829999999998,21.27133,21.30825,20.30385,,20.603679999999997,20.27264,,,20.343429999999998,,20.74345
100,22.21558,22.491789999999998,23.00215,22.900489999999998,23.13984,23.6402,23.04895,22.58667,22.91218,22.430989999999998,23.31119,22.65918
101,21.57985,22.08848,22.25768,22.828689999999998,20.78612,22.6231,22.40174,21.3878,21.10015,22.1777,23.63423,23.86637
102,25.14091,25.33026,25.34655,25.01924,24.59303,25.11807,24.67568,24.98594,24.59394,24.59309,24.593770000000003,25.001739999999998
103,,,,21.970110000000002,,22.415370000000003,22.87294,22.31532,,,,22.13358
104,,,,,19.21836,21.60892,20.30385,,20.038320000000002,,19.70774,
105,24.51093,24.809070000000002,24.79352,24.950870000000002,24.37106,24.87666,24.679920000000003,24.392570000000003,24.049020000000002,24.39329,24.32643,24.67255
106,24.335179999999998,24.33804,24.18518,24.36646,24.40367,24.80016,24.99697,24.186239999999998,23.92976,23.28644,23.39284,23.52145
107,22.927310000000002,23.36159,22.81466,23.089570000000002,22.61538,23.44291,23.27242,22.36973,23.12173,21.649739999999998,22.4822,22.68385
108,21.2898,21.225820000000002,21.50669,21.566110000000002,20.45573,21.457539999999998,22.32358,21.02337,20.977220000000003,20.93596,21.0034,22.20598
109,,20.490820000000003,21.04973,,20.07783,22.79565,20.75491,21.32174,,20.33243,22.4234,20.27821
110,22.21836,22.14074,21.97481,22.63061,20.98378,21.89264,21.572,21.87631,21.82912,22.94541,21.88263,22.86795
111,24.59986,24.72863,24.818070000000002,24.84704,24.09844,24.73934,24.21645,24.12274,23.37941,24.36346,24.66601,24.61757
112,24.590870000000002,25.02153,25.09059,24.438470000000002,23.88362,24.659000000000002,24.612170000000003,24.83788,24.07088,24.75226,24.69429,24.77394
113,,,21.908520000000003,,,,,,,,,23.58279
114,21.00141,22.07966,21.9693,21.98645,21.56556,21.31307,22.26207,21.68007,21.5739,20.54774,21.39111,21.59923
